Entity,Code,Year,RichestIncomeShare
Afghanistan,AFG,2008,15.870001
Afghanistan,AFG,2012,13.56
Afghanistan,AFG,2017,15.389999
Afghanistan,AFG,2022,15.539999
Afghanistan,AFG,2023,15.16
Africa (WID),,1980,20.61
Africa (WID),,1981,19.96
Africa (WID),,1982,20.09
Africa (WID),,1983,22.15
Africa (WID),,1984,20.36
Africa (WID),,1985,20.35
Africa (WID),,1986,20.24
Africa (WID),,1987,19.83
Africa (WID),,1988,19.72
Africa (WID),,1989,19.789999
Africa (WID),,1990,19.58
Africa (WID),,1991,20.08
Africa (WID),,1992,19.85
Africa (WID),,1993,19.76
Africa (WID),,1994,20.43
Africa (WID),,1995,20.34
Africa (WID),,1996,20.45
Africa (WID),,1997,21.02
Africa (WID),,1998,21.1
Africa (WID),,1999,21.539999
Africa (WID),,2000,21.95
Africa (WID),,2001,21.72
Africa (WID),,2002,21.94
Africa (WID),,2003,21.84
Africa (WID),,2004,21.64
Africa (WID),,2005,21.449999
Africa (WID),,2006,21.97
Africa (WID),,2007,22.1
Africa (WID),,2008,21.56
Africa (WID),,2009,20.800001
Africa (WID),,2010,20.53
Africa (WID),,2011,20.25
Africa (WID),,2012,21.279999
Africa (WID),,2013,21.359999
Africa (WID),,2014,21.369999
Africa (WID),,2015,21.32
Africa (WID),,2016,21.25
Africa (WID),,2017,21.09
Africa (WID),,2018,21.439999
Africa (WID),,2019,21.18
Africa (WID),,2020,20.710001
Africa (WID),,2021,21.199999
Africa (WID),,2022,20.93
Africa (WID),,2023,20.75
Albania,ALB,1996,8.09
Albania,ALB,2002,8.25
Albania,ALB,2005,8.030001
Albania,ALB,2008,8.14
Albania,ALB,2012,8.58
Albania,ALB,2015,9.64
Albania,ALB,2016,9.5
Albania,ALB,2017,9.62
Albania,ALB,2018,9.5
Albania,ALB,2022,9.089999
Albania,ALB,2023,9.17
Algeria,DZA,1988,15.440001
Algeria,DZA,1989,15.360001
Algeria,DZA,1990,16.04
Algeria,DZA,1991,15.05
Algeria,DZA,1992,15.719999
Algeria,DZA,1993,15.52
Algeria,DZA,1994,14.09
Algeria,DZA,1995,15.22
Algeria,DZA,1996,15.610001
Algeria,DZA,1997,15.42
Algeria,DZA,1998,15.710001
Algeria,DZA,1999,15.690001
Algeria,DZA,2000,15.29
Algeria,DZA,2001,15.21
Algeria,DZA,2002,18.179998
Algeria,DZA,2003,17.2
Algeria,DZA,2004,15.57
Algeria,DZA,2005,15.559999
Algeria,DZA,2006,15.379999
Algeria,DZA,2007,14.87
Algeria,DZA,2008,15.59
Algeria,DZA,2009,16.240002
Algeria,DZA,2010,16.140001
Algeria,DZA,2011,15.950001
Algeria,DZA,2022,23.74
Algeria,DZA,2023,22.64
Andorra,AND,1980,9.08
Andorra,AND,1981,9.049999
Andorra,AND,1982,9.0199995
Andorra,AND,1983,9.13
Andorra,AND,1984,9.34
Andorra,AND,1985,9.37
Andorra,AND,1986,9.34
Andorra,AND,1987,9.2699995
Andorra,AND,1988,9.33
Andorra,AND,1989,9.43
Andorra,AND,1990,9.22
Andorra,AND,1991,9.139999
Andorra,AND,1992,9.51
Andorra,AND,1993,9.63
Andorra,AND,1994,10.07
Andorra,AND,1995,9.75
Andorra,AND,1996,10.08
Andorra,AND,1997,10.679999
Andorra,AND,1998,10.809999
Andorra,AND,1999,10.88
Andorra,AND,2000,11.3
Andorra,AND,2001,10.86
Andorra,AND,2002,10.5
Andorra,AND,2003,10.75
Andorra,AND,2004,11.16
Andorra,AND,2005,11.34
Andorra,AND,2006,12
Andorra,AND,2007,11.9800005
Andorra,AND,2008,10.78
Andorra,AND,2009,9.88
Andorra,AND,2010,10.93
Andorra,AND,2011,10.88
